What is the romanized Chinese word for "airplane"? ; Huojian ; Qiche ; Zongxian ; Feiji ; D
What is the romanized Japanese word for "university"? ; Toshokan ; Daigaku ; Jimusho ; Shokudou ; B
What is the romanized Korean word for "heart"? ; Aejeong ; Simjang ; Jeongsin ; Segseu ; B
What is the romanized Russian word for "winter"? ; Osen" ; Leto ; Vesna ; Zima ; D
What is the Spanish word for "donkey"? ; Toro ; Caballo ; Burro ; Perro ; C
What is the unit of currency in Laos? ; Dollar ; Ruble ; Konra ; Kip ; D
What is the usual name for an establishment containing a lot of fruit machines? ; Amusement arcade ; Happy house ; Fun folly ; Hilarity hall ; A
What is the world's most expensive spice by weight? ; Cardamom ; Cinnamon ; Saffron ; Vanilla ; C
What kind of creature is "Iago" in the 1992 Disney film "Aladdin"? ; Tiger ; Parrot ; Lion ; Raccoon ; B
What kind of envelope has a transparent section through which the address can be seen? ; Fanlight ; Door ; Sunroof ; Window ; D
What might an electrician lay? ; Tables ; Gables ; Cables ; Stables ; C
What name is given to a heavy, metal-headed, spiked club? ; Nutmeg ; Mace ; Saffron ; Clove ; B
What name is given to a mound or ridge of windblown sand? ; Drone ; Dude ; Dime ; Dune ; D
What name is given to a person who turns animal skins into leather? ; Shilling ; Quid ; Tanner ; Florin ; C
What name is given to a playing card with a single symbol on it? ; Whizz ; Hotshot ; Ace ; Star ; C
What name is given to the person who traditionally attends the groom on his wedding day? ; Best man ; Top man ; Old man ; Poor man ; A
What name represents the letter "M" in the NATO phonetic alphabet? ; Mark ; Matthew ; Mike ; Max ; C
What nationality is the film star Sean Connery? ; Irish ; English ; Welsh ; Scottish ; D
What sort of animal is Jess, who accompanies the TV character Postman Pat? ; Dog ; Horse ; Cat ; Mouse ; C
What term is used for a young man who takes part in rowdy and boorish group behaviour? ; Beer brat ; Whisky wideboy ; Lager lout ; Pub pig ; C
What term refers to replacing defective joints in masonry work? ; Aiming ; Staring ; Pointing ; Prodding ; C
What type of animal is a lynx? ; Antelope ; Cat ; Dog ; Horse ; B
What type of animal was Harambe, who was shot after a child fell into it's enclosure at the Cincinnati Zoo? ; Crocodile ; Tiger ; Panda ; Gorilla ; D
What type of protective headgear do motorcyclists wear? ; Bash helmet ; Crash helmet ; Mash helmet ; Flash helmet ; B
What was Apple's first slogan? ; Byte into an Apple ; Rockalicious ; Think Different ; Just Do It ; A
What was Leonardo DiCaprio's character in the 1997 film "Titanic"? ; Billy Zane ; Brock Lovett ; Jack Dawson ; Thomas Ryan ; C
What was the first name of Miss Springfield, the singer who died in 1999? ; Rusty ; Crusty ; Musty ; Dusty ; D
What was the UK's top paying attraction of 2002? ; London Nose ; London Mouth ; London Eye ; London Ear ; C
What word describes plants with thick fleshy leaves which store water? ; Delicious ; Sumptuous ; Succulent ; Scrumptious ; C
What would a "tattie picker" harvest? ; Raspberries ; Corn ; Potatoes ; Apples ; C
What would a Japanese person be wishing you by saying "Kampai"? ; Have a happy birthday ; Have a good journey ; Cheers ; Good luck in your driving test ; C
What would you expect to see at the London Aquarium? ; Flowers ; Trees ; Steam rollers ; Fish ; D
What would you normally do with a beret? ; Eat it ; Play it ; Sit on it ; Wear it ; D
What year was Queen Elizabeth II born? ; 1929 ; 1923 ; 1926 ; 1930 ; C
What's the name of Batman's parents? ; Thomas & Martha ; Joey & Jackie ; Jason & Sarah ; Todd & Mira ; A
Where do you proverbially wear your heart, if you show your true feelings? ; On your collar ; On your lapel ; On your cuff ; On your sleeve ; D
Which "Dallas" spin-off saw Gary Ewing arrive in a small Californian town? ; Knots Patio ; Knots Garage ; Knots Porch ; Knots Landing ; D
Which 1969 film won the Best Picture Oscar? ; Midnight Cowboy ; Noontime Apache ; Twilight Cavalry ; Morning Rancher ; A
Which activity would you most associate with a mole? ; Burrowing ; Climbing ; Swimming ; Flying ; A
Which actress had already made over a million dollars by the time she was ten years old? ; Marilyn Monroe ; Audrey Hepburn ; Jane Fonda ; Shirley Temple ; D
Which adjective applied to Friday 9th April in 2004? ; Good ; Bad ; Ugly ; Indifferent ; A
Which animal's stomach is used to make "Haggis"? ; Cow ; Sheep ; Chicken ; Pig ; B
Which board game is known as "checkers" in the USA? ; Snakes & ladders ; Backgammon ; Draughts ; Ludo ; C
Which character is played by Verne Troyer in the "Austin Powers’ films? ; Mini-Cooper ; Mini-Mouse ; Mini-Me ; Mini-Skirt ; C
Which character was first played by Arnold Schwarzenegger in a 1984 film? ; The Demonstrator ; The Instigator ; The Investigator ; The Terminator ; D
Which chemical element has the symbol H? ; Hafnium ; Hassium ; Helium ; Hydrogen ; D
Which colour is used as a term to describe an illegal market in rare goods? ; Blue ; Red ; Black ; White ; C
Which company markets "sensual lingerie" and "naughty novelties"? ; Jane Winters ; Mary Autumns ; Ann Summers ; Sadie Springs ; C
Which country has the record for the worlds largest orgy? ; USA ; Russia ; Germany ; Japan ; D
Which country is not an island? ; Madagascar ; Cuba ; Germany ; Jamaica ; C
Which country is not crossed by the Arctic Circle? ; Norway ; Finland ; Greece ; Sweden ; C
Which country music legend, known as "the man in black', died in September 2003? ; Freddie Cheque ; Tommy Card ; Johnny Cash ; Mickey Debit ; C
Which country shares a land border with the UK? ; Portugal ; Libya ; Vietnam ; Ireland ; D
Which disease devastated livestock across the UK during 2001? ; Hand-and-foot ; Foot-in-mouth ; Hand-to-mouth ; Foot-and-mouth ; D
Which element is the most prominent in the air? ; Hydrogen ; Helium ; Oxygen ; Nitrogen ; D
Which essential condiment is also known as Japanese horseradish? ; Wasabi ; Mentsuyu ; Karashi ; Ponzu ; A
Which famous cricketer was given a twelve-month ban in February 2003? ; Shane Fenton ; Shane MacGowan ; Shane Warne ; Shane Richie ; C
Which film star has his statue in Leicester Square? ; Paul Newman ; Charlie Chaplin ; Rowan Atkinson ; Alfred Hitchcock ; B
Which Greek Academic is famous for a theorem on right-handed triangles? ; Aristotle ; Plato ; Thales ; Pythagoras ; D
Which Irish rock band shares its name with an American spy plane? ; U2 ; SR-71 ; F-111 ; C-130 ; A
Which is a 1986 musical with lyrics by Tim Rice? ; Ludo ; Monopoly ; Cluedo ; Chess ; D
Which is a 2003 comic-strip super-hero film? ; The Lump ; The Mass ; The Hulk ; The Hunk ; C
Which is a chain of international hotels? ; Four Tops ; Four Pennies ; Four Seasons ; Four Posters ; C
Which is a famous rock group whose albums include "Slippery When Wet" and "New Jersey"? ; Bon Jovi ; Bon Idée ; Bon Marché ; Bon Bon ; A
Which is a type of wading bird? ; Winklenicker ; Prawngrabber ; Cocklenabber ; Oystercatcher ; D
Which is a US-made soap opera? ; Johnson's Mere ; Thompson's Pond ; Dawson's Creek ; Madison's Lake ; C
Which is an alternative name for members of the Society of Friends? ; Kellogg's ; Special Ks ; Quakers ; Jordans ; C
Which is another name for a short melodious tune? ; Oxygen ; Air ; Nitrogen ; Stratosphere ; B
Which is not a real English county? ; West Sussex ; South Norfolk ; North Yorkshire ; East Sussex ; B
Which is not a recognized playing surface for tennis? ; Grass ; Linoleum ; Clay ; Cement ; B
Which is not a species of seal? ; Elephant ; Leopard ; Three-legged ; Grey ; C
Which is not a type of antelope? ; Gorilla ; Gerenuk ; Gemsbok ; Gnu ; A
Which is not the name of an English county? ; Lancashire ; Leicestershire ; Liverpoolshire ; Lincolnshire ; C
Which is the longest bone in the human body? ; Clavicle ; Femur ; Scapula ; Tibia ; B
Which is the title of a soap set in a rural Scottish community? ; M1 ; Autobahn ; High Road ; Motorway ; C
Which keyboard player was awarded the OBE in the 2003 Birthday Honours list? ; Cools Belgium ; Drools Luxembourg ; Fools France ; Jools Holland ; D
Which Live 8 pop performer had hits with "Into The Groove" and "Like A Virgin"? ; Elton John ; Madonna ; Paul McCartney ; Robbie Williams ; B
Which low-cost airline was bought by Ryanair in 2003? ; Hum ; Buzz ; Fizz ; Bang ; B
Which member of the Royal Family celebrated his 19th birthday in September 2003? ; Prince Edward ; Prince Andrew ; Prince Harry ; Prince Charles ; C
Which metal lends its name to a US five-cent coin? ; Iron ; Zinc ; Nickel ; Tin ; C
Which military hero has the same name as a hold used in wrestling? ; Sherman ; Nelson ; Montgomery ; Wellington ; B
Which musician has collaborated with American producer Porter Robinson and released the 2016 song "Shelter"? ; Mat Zo ; Madeon ; deadmau5 ; Zedd ; B
Which novel by Charles Dickens was made into a film in 2002? ; Danny Dimeby ; Nicholas Nickleby ; Quentin Quarterby ; Donald Dollarby ; B
Which of the following are a type of close-fitting knee-length shorts? ; Menorca shorts ; Guernsey shorts ; Bermuda shorts ; Cyprus shorts ; C
Which of the following chemicals are found in eggplant seeds? ; Cyanide ; Mescaline ; Nicotine ; Psilocybin ; C
Which of the following do bowlers aim to hit during a game of cricket? ; Posts ; Hoop ; Net ; Stumps ; D
Which of the following is a small sausage? ; Maraschino ; Chipolata ; Risotto ; Gazpacho ; B
Which of the following is associated with the invention of the raincoat? ; Edward Woollyhat ; Charles Macintosh ; Robert Jumper ; Frank Waistcoat ; B
Which of the following is not a geological period? ; Jurassic ; Palaeozoic ; Triassic ; Boracic ; D
Which of the following was an Irish figurative painter? ; Francis Egg ; Francis Sausage ; Francis Bacon ; Francis Bean ; C
Which of the following words for a coat also describes the paper cover of a book? ; Cagoule ; Mackintosh ; Jacket ; Parka ; C
Which of these applies to the shape of a soccer ball? ; Conical ; Cylindrical ; Spherical ; Oval ; C
Which of these companies does NOT manufacture automobiles? ; Fiat ; Nissan ; GMC ; Ducati ; D
Which of these countries did not host a Formula 1 Grand Prix race in 2003? ; Monaco ; France ; Italy ; Madagascar ; D
Which of these countries is in South America? ; Uruguay ; Tonga ; Timor ; Thailand ; A
Which of these describes something which causes stress or anxiety? ; Knee-racking ; Nerve-racking ; Nodule-racking ; Nose-racking ; B
Which of these did Old King Cole not call for? ; His fiddlers ; A curry ; His bowl ; His pipe ; B
Which of these food-based TV shows does Gordon Ramsay host? ; The Chew ; Chopped ; American Grilled ; Hell's Kitchen ; D
Which of these geographical features is a mountain? ; Kilimanjaro ; Danube ; Amazon ; Nile ; A
Which of these is a butter substitute made with vegetable oils? ; Margaret ; Margarine ; Margarita ; Margate ; B
Which of these is a carnivorous plant? ; Mars anteater ; Saturn spidernet ; Pluto bugsnare ; Venus flytrap ; D
Which of these is a child's playground game in which participants slap each other's hands? ; Pat-a-bap ; Pat-a-roll ; Pat-a-biscuit ; Pat-a-cake ; D
Which of these is a common term for a programme of physical exercise? ; Stay able ; Remain trim ; Continue competent ; Keep fit ; D
Which of these is a dessert of hot meringue and cold ice cream? ; Fried Florida ; Baked Alaska ; Hot Hawaii ; Curried Carolina ; B
Which of these is a device often used in a séance? ; Ironing board ; Cheeseboard ; Circuit board ; Ouija board ; D
Which of these is a discipline in both men's and women’s gymnastics? ; Floor exercises ; Wall exercises ; Ceiling exercises ; Roof exercises ; A
Which of these is a fashionable district of London? ; Bulgaria ; Belgravia ; Belgrade ; Belgium ; B
Which of these is a keyboard instrument? ; Harpsichord ; Ripcord ; Pyjama cord ; Sashcord ; A
Which of these is a large woodwind instrument? ; Buffoon ; Pantaloon ; Bassoon ; Macaroon ; C
Which of these is a legendary British king who is said to have drawn a sword from a stone? ; Eric ; Albert ; Ernie ; Arthur ; B
Which of these is a material often used to make floor mats? ; Rush ; Dash ; Hustle ; Bustle ; A
Which of these is a person who performs tricks that deceive the eye? ; Illustrator ; Illuminator ; Illiterate ; Illusionist ; D
Which of these is a popular form of music? ; County & Eastern ; Kingdom & Northern ; Land & Southern ; Country & Western ; D
Which of these is a popular garden flower? ; Busnation ; Carnation ; Trainnation ; Planenation ; B
Which of these is a Scottish district council? ; Inverchristopher ; Inverclyde ; Inverclint ; Invercharles ; B
Which of these is a slang term for "excellent"? ; Joker ; Queen ; Jack ; Ace ; D
Which of these is a slang term for a mean person? ; Cheapskate ; Cheapshark ; Cheapmackerel ; Cheaphaddock ; A
Which of these is a spicy Indian dish? ; Spaghetti ; Biriani ; Bellini ; Crostini ; B
Which of these is a spicy, Cajun chicken or seafood dish? ; Gumbo ; Dumbo ; Bimbo ; Rambo ; A
Which of these is a term for a typically average man? ; Joe Cole ; Joe Bloggs ; Joe Bugner ; Joe Strummer ; B
Which of these is a term meaning a match in bridge? ; Pencil ; Eraser ; Rubber ; Crayon ; C
Which of these is a tool for shaping and smoothing wood? ; Train ; Plane ; Car ; Bike ; B
Which of these is a type of beer? ; Acid ; Bitter ; Tart ; Sour ; B
Which of these is a type of cured herring? ; Floater ; Bloater ; Gloater ; Eloper ; B
Which of these is a type of drum? ; Bear ; Snare ; Fair ; Blair ; B
Which of these is a village in Somerset? ; Brie ; Emmental ; Gorgonzola ; Cheddar ; D
Which of these is a weight category in professional boxing? ; Welterweight ; Swelterweight ; Slaughterweight ; Daughterweight ; A
Which of these is an adolescent romantic attachment? ; Puppy love ; Kitten love ; Bunny love ; Piggy love ; A
Which of these is an ice cream dessert? ; Sundae ; Mondae ; Tuesdae ; Wednesdae ; A
Which of these is an obstruction built across a river? ; Seer ; Rear ; Fear ; Weir ; D
Which of these is both a person who chooses to live alone, and a type of crab? ; Hero ; Hermit ; Heretic ; Herald ; B
Which of these is the US name for the French card game vingt-et-un? ; Blackjack ; Bluejack ; Redjack ; Greenjack ; A
Which of these is true of filo pastry? ; Very thin ; Bright red ; Does not cook ; Made of apples ; A
Which of these kills its victims by constriction? ; Andalucia ; Anaconda ; Andypandy ; Annerobinson ; B
Which of these means adequate space for moving in? ; Elbow room ; Foot rest ; Ear hole ; Knee lounge ; A
Which of these means displaying advertising posters in an unauthorised place? ; Ant-posting ; Bee-posting ; Fly-posting ; Wasp-posting ; C
Which of these might be used in underwater naval operations? ; Frogmen ; Newtmen ; Toadmen ; Tadpolemen ; A
Which of these non-elected people resigned from Downing Street in 2003? ; Jackie Stewart ; Patrick Stewart ; Patrick Campbell ; Alastair Campbell ; D
Which of these refers to an alcoholic drink served with ice? ; Shingled ; On the rocks ; Pebbledashed ; Stoned ; B
Which of these would a film actor like to receive? ; Oliver ; Oscar ; Oliphant ; Osbert ; B
Which of these would be of most use if you wanted to play poker? ; Bat & ball ; Pack of cards ; Swimming trunks ; Horse ; B
Which one of the following rhythm games was made by Harmonix? ; Guitar Hero Live ; Meat Beat Mania ; Rock Band ; Dance Dance Revolution ; C
Which one of these is not a typical European sword design? ; Falchion ; Scimitar ; Ulfberht ; Flamberge ; B
Which organisation preserves monuments, buildings and areas of the countryside in England? ; National Trust ; National Debt ; National Service ; National Gallery ; A
Which part of the body do bronchial infections mainly attack? ; Eyes ; Liver ; Spleen ; Lungs ; D
Which part of the human body encases many of the vital organs such as the heart, lungs and liver? ; Head ; Legs ; Arms ; Torso ; D
Which patron saint's day falls on 23rd April? ; St Harry ; St Albert ; St George ; St William ; C
